wellID, constituentID, mdl, pql, observed, sampleDate
18,0,NULL,NULL,0.00152(J),2019-07-31
18,0,NULL,NULL,n/a,2019-07-31
18,0,NULL,NULL,<0.003*,2019-10-01
18,0,NULL,NULL,n/a,2020-05-12
18,0,NULL,NULL,<0.003*,2020-09-01
18,0,NULL,NULL,<0.001015*,2021-05-25
18,0,NULL,NULL,<0.00102*,2021-10-25
18,0,NULL,NULL,<0.00102*,2022-05-24
19,0,NULL,NULL,0.00125(J),2019-01-08
19,0,NULL,NULL,<0.003*,2019-10-02
19,0,NULL,NULL,<0.003*,2020-03-30
19,0,NULL,NULL,<0.003*,2020-09-01
19,0,NULL,NULL,<0.001015*,2021-05-18
19,0,NULL,NULL,<0.00102*,2021-11-01
19,0,NULL,NULL,<0.00102*,2022-05-24
20,0,NULL,NULL,<0.003,2016-03-02
20,0,NULL,NULL,<0.003,2016-04-19
20,0,NULL,NULL,<0.003,2016-06-08
20,0,NULL,NULL,<0.003,2016-08-31
20,0,NULL,NULL,<0.003,2016-10-19
20,0,NULL,NULL,0.000739(J),2017-01-31
20,0,NULL,NULL,n/a,2017-03-21
20,0,NULL,NULL,<0.003,2017-05-02
20,0,NULL,NULL,<0.003,2017-06-06
20,0,NULL,NULL,n/a,2017-09-12
20,0,NULL,NULL,<0.003*,2018-01-24
20,0,NULL,NULL,<0.003*,2018-05-01
20,0,NULL,NULL,n/a,2018-08-28
20,0,NULL,NULL,<0.003*,2018-11-27
20,0,NULL,NULL,<0.003*,2019-05-29
20,0,NULL,NULL,<0.003*,2019-10-01
20,0,NULL,NULL,<0.003*,2020-03-31
20,0,NULL,NULL,<0.003*,2020-08-31
20,0,NULL,NULL,<0.001015*,2021-05-18
20,0,NULL,NULL,<0.00102*,2021-11-01
20,0,NULL,NULL,<0.00102*,2022-05-24
21,0,NULL,NULL,0.00113(J),2019-07-31
21,0,NULL,NULL,n/a,2019-07-31
21,0,NULL,NULL,<0.003*,2019-10-01
21,0,NULL,NULL,<0.003*,2020-04-01
21,0,NULL,NULL,<0.003*,2020-09-01
